Name,SKUs,Routes,Vehicles,Customers,Instance,BIS Obj1,BB Obj1,CPU Obj1,V Obj1,BIS Obj2,BB Obj2,CPU Obj2,Greedy Obj1,Greedy Obj2,Greedy CPU,Gap Obj 1 01,Gap Obj 1 02,Gap Obj 1 03,Gap Obj 1 04,Gap Obj 1 05,Gap Obj 1 06,Gap Obj 1 07,Gap Obj 1 08,Gap Obj 1 09,Gap Obj 1 10,Gap Obj 1 11,Gap Obj 1 12,Gap Obj 1 13,Gap Obj 1 14,Gap Obj 1 15,Gap Obj 1 16,Gap Obj 1 17,Gap Obj 1 18,Gap Obj 1 19,Gap Obj 1 20,Gap Obj 1 21,Gap Obj 1 22,Gap Obj 1 23,Gap Obj 1 24,Gap Obj 1 25,Gap Obj 1 26,Gap Obj 1 27,Gap Obj 1 28,Gap Obj 1 29,Gap Obj 1 30,Gap Obj 1 31,Gap Obj 1 32,Gap Obj 1 33,Gap Obj 1 34,Gap Obj 1 35,Gap Obj 1 36,Gap Obj 1 37,Gap Obj 1 38,Gap Obj 1 39,Gap Obj 1 40,Gap Obj 1 41,Gap Obj 1 42,Gap Obj 1 43,Gap Obj 1 44,Gap Obj 1 45,Gap Obj 1 46,Gap Obj 1 47,Gap Obj 1 48,Gap Obj 1 49,Gap Obj 1 50,Gap Obj 1 51,Gap Obj 1 52,Gap Obj 1 53,Gap Obj 1 54,Gap Obj 1 55,Gap Obj 1 56,Gap Obj 1 57,Gap Obj 1 58,Gap Obj 1 59,Gap Obj 1 60,Gap Obj 2 01,Gap Obj 2 02,Gap Obj 2 03,Gap Obj 2 04,Gap Obj 2 05,Gap Obj 2 06,Gap Obj 2 07,Gap Obj 2 08,Gap Obj 2 09,Gap Obj 2 10,Gap Obj 2 11,Gap Obj 2 12,Gap Obj 2 13,Gap Obj 2 14,Gap Obj 2 15,Gap Obj 2 16,Gap Obj 2 17,Gap Obj 2 18,Gap Obj 2 19,Gap Obj 2 20,Gap Obj 2 21,Gap Obj 2 22,Gap Obj 2 23,Gap Obj 2 24,Gap Obj 2 25,Gap Obj 2 26,Gap Obj 2 27,Gap Obj 2 28,Gap Obj 2 29,Gap Obj 2 30,Gap Obj 2 31,Gap Obj 2 32,Gap Obj 2 33,Gap Obj 2 34,Gap Obj 2 35,Gap Obj 2 36,Gap Obj 2 37,Gap Obj 2 38,Gap Obj 2 39,Gap Obj 2 40,Gap Obj 2 41,Gap Obj 2 42,Gap Obj 2 43,Gap Obj 2 44,Gap Obj 2 45,Gap Obj 2 46,Gap Obj 2 47,Gap Obj 2 48,Gap Obj 2 49,Gap Obj 2 50,Gap Obj 2 51,Gap Obj 2 52,Gap Obj 2 53,Gap Obj 2 54,Gap Obj 2 55,Gap Obj 2 56,Gap Obj 2 57,Gap Obj 2 58,Gap Obj 2 59,Gap Obj 2 60
S200R20V10C10#2,200,20,10,10,2,258310144,258310144,13.91,10,10,10,2.6,253296640,10,0.75,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C10#3,200,20,10,10,3,751345664,751345664,242.3,10,10,10,27.58,745357312,6,0.671875,8.00%,8.00%,5.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C10#4,200,20,10,10,4,183339008,183339008,76.84,10,10,10,20.33,172646400,10,0.890625,3.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C10#5,200,20,10,10,5,102318080,102345386.7,3600,10,10,10,11.44,97484800,10,0.90625,4.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C15#1,200,20,10,15,1,198018048.1,198018048.1,24.74,10,10,10,5.99,194387968,10,0.75,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C15#2,200,20,10,15,2,198664192,198664192,41.61,10,10,10,10.63,197181440,10,0.71875,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C15#3,200,20,10,15,3,42557440,42557440,118.38,10,10,10,15.02,38994944,10,0.65625,8.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C15#4,200,20,10,15,4,342181888,342182136,810.56,10,10,10,35.08,337690624,10,0.75,49.00%,13.00%,3.00%,1.00%,1.00%,1.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V10C15#5,200,20,10,15,5,172040192,172040192,53.33,10,10,10,1.81,167550976,10,0.71875,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S200R20V15C5#1,200,20,15,5,1,174702592,174702603.6,335.06,12,12,12,55.56,169062400,6,1.0625,6.00%,5.00%,4.00%,4.00%,3.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
